ID;status;uczen;lekcja
0000272;nieobecny;193;000010
0000273;obecny;194;000010
0000274;obecny;212;000010
0000275;obecny;219;000010
0000276;nieobecny;222;000010
0000277;obecny;229;000010
0000278;obecny;232;000010
0000279;nieobecny;242;000010
0000280;obecny;261;000010
0000281;obecny;271;000010
0000282;nieobecny;278;000010
0000283;obecny;300;000010
0000284;nieobecny;318;000010
0000285;obecny;335;000010
0000286;spozniony;355;000010
0000287;obecny;363;000010
0000288;obecny;377;000010
0000289;spozniony;383;000010
0000290;obecny;390;000010
0000291;obecny;406;000010
0000292;spozniony;431;000010
0000293;spozniony;019;000011
0000294;obecny;035;000011
0000295;spozniony;053;000011
0000296;spozniony;100;000011
0000297;nieobecny;114;000011
0000298;spozniony;132;000011
0000299;obecny;151;000011
0000300;nieobecny;163;000011
0000301;obecny;187;000011
0000302;nieobecny;203;000011
0000303;nieobecny;215;000011
0000304;nieobecny;217;000011
0000305;obecny;226;000011
0000306;nieobecny;239;000011
0000307;spozniony;249;000011
0000308;obecny;262;000011
0000309;nieobecny;265;000011
0000310;spozniony;279;000011
0000311;obecny;299;000011
0000312;obecny;308;000011
0000313;spozniony;315;000011
0000314;nieobecny;325;000011
0000315;obecny;332;000011
0000316;nieobecny;333;000011
0000317;nieobecny;337;000011
0000318;nieobecny;348;000011
0000319;obecny;378;000011
0000320;nieobecny;388;000011
0000321;nieobecny;393;000011
0000322;nieobecny;400;000011
0000323;obecny;404;000011
0000324;obecny;407;000011
0000325;nieobecny;442;000011
0000326;obecny;463;000011
0000327;spozniony;476;000011
0000328;obecny;003;000012
0000329;spozniony;007;000012
0000330;obecny;021;000012
0000331;spozniony;028;000012
0000332;obecny;030;000012
0000333;spozniony;048;000012
0000334;spozniony;051;000012
0000335;nieobecny;058;000012
0000336;obecny;065;000012
0000337;nieobecny;075;000012
0000338;nieobecny;079;000012
0000339;nieobecny;102;000012
0000340;nieobecny;140;000012
0000341;spozniony;150;000012
0000342;spozniony;152;000012
0000343;nieobecny;169;000012
0000344;spozniony;184;000012
0000345;nieobecny;185;000012
0000346;spozniony;192;000012
0000347;nieobecny;230;000012
0000348;nieobecny;234;000012
0000349;nieobecny;236;000012
0000350;spozniony;251;000012
0000351;spozniony;269;000012
0000352;obecny;301;000012
0000353;obecny;330;000012
0000354;spozniony;341;000012
0000355;nieobecny;365;000012
0000356;spozniony;391;000012
0000357;spozniony;402;000012
0000358;nieobecny;434;000012
0000359;nieobecny;437;000012
0000360;obecny;439;000012
0000361;nieobecny;447;000012
0000362;obecny;456;000012
0000363;nieobecny;479;000012
0000364;spozniony;005;000013
0000365;nieobecny;033;000013
0000366;spozniony;074;000013
0000367;nieobecny;080;000013
0000368;obecny;129;000013
0000369;nieobecny;153;000013
0000370;spozniony;172;000013
0000371;nieobecny;179;000013
0000372;spozniony;208;000013
0000373;spozniony;285;000013
0000374;obecny;290;000013
0000375;obecny;294;000013
0000376;nieobecny;343;000013
0000377;obecny;351;000013
0000378;nieobecny;375;000013
0000379;spozniony;389;000013
0000380;obecny;397;000013
0000381;spozniony;420;000013
0000382;nieobecny;443;000013
0000383;spozniony;002;000014
0000384;spozniony;008;000014
0000385;nieobecny;018;000014
0000386;obecny;022;000014
0000387;obecny;034;000014
0000388;nieobecny;044;000014
0000389;obecny;050;000014
0000390;obecny;069;000014
0000391;nieobecny;081;000014
0000392;nieobecny;113;000014
0000393;nieobecny;118;000014
0000394;spozniony;125;000014
0000395;nieobecny;126;000014
0000396;nieobecny;128;000014
0000397;spozniony;131;000014
0000398;spozniony;133;000014
0000399;nieobecny;189;000014
0000400;obecny;204;000014
0000401;spozniony;224;000014
0000402;nieobecny;227;000014
0000403;nieobecny;257;000014
0000404;spozniony;260;000014
0000405;nieobecny;298;000014
0000406;obecny;310;000014
0000407;nieobecny;321;000014
0000408;nieobecny;380;000014
0000409;obecny;385;000014
0000410;spozniony;396;000014
0000411;nieobecny;419;000014
0000412;spozniony;423;000014
0000413;obecny;464;000014
0000414;obecny;477;000014
0000415;nieobecny;045;000015
0000416;obecny;059;000015
0000417;obecny;062;000015
0000418;nieobecny;076;000015
0000419;obecny;095;000015
0000420;spozniony;096;000015
0000421;spozniony;104;000015
0000422;obecny;115;000015
0000423;nieobecny;120;000015
0000424;obecny;130;000015
0000425;obecny;137;000015
0000426;obecny;159;000015
0000427;spozniony;175;000015
0000428;nieobecny;190;000015
0000429;nieobecny;191;000015
0000430;obecny;225;000015
0000431;nieobecny;238;000015
0000432;spozniony;248;000015
0000433;spozniony;263;000015
0000434;spozniony;283;000015
0000435;obecny;307;000015
0000436;spozniony;312;000015
0000437;obecny;317;000015
0000438;spozniony;319;000015
0000439;obecny;326;000015
0000440;nieobecny;328;000015
0000441;nieobecny;334;000015
0000442;obecny;339;000015
0000443;obecny;353;000015
0000444;spozniony;370;000015
0000445;spozniony;421;000015
0000446;obecny;449;000015
0000447;spozniony;451;000015
0000448;spozniony;458;000015
0000449;spozniony;461;000015
0000450;obecny;474;000015
0000451;obecny;480;000015
0000452;obecny;004;000016
0000453;spozniony;029;000016
0000454;spozniony;066;000016
0000455;obecny;085;000016
0000456;obecny;117;000016
0000457;obecny;121;000016
0000458;nieobecny;122;000016
0000459;spozniony;154;000016
0000460;nieobecny;164;000016
0000461;obecny;177;000016
0000462;nieobecny;180;000016
0000463;spozniony;195;000016
0000464;nieobecny;199;000016
0000465;spozniony;205;000016
0000466;nieobecny;209;000016
0000467;obecny;210;000016
0000468;nieobecny;218;000016
0000469;obecny;221;000016
0000470;nieobecny;289;000016
0000471;nieobecny;296;000016
0000472;obecny;313;000016
0000473;nieobecny;314;000016
0000474;nieobecny;366;000016
0000475;nieobecny;395;000016
0000476;nieobecny;403;000016
0000477;nieobecny;405;000016
0000478;nieobecny;415;000016
0000479;spozniony;424;000016
0000480;spozniony;426;000016
0000481;nieobecny;441;000016
0000482;nieobecny;444;000016
0000483;nieobecny;460;000016
0000484;nieobecny;466;000016
0000485;spozniony;470;000016
0000486;obecny;006;000017
0000487;spozniony;015;000017
0000488;obecny;016;000017
0000489;spozniony;024;000017
0000490;obecny;031;000017
0000491;nieobecny;049;000017
0000492;nieobecny;068;000017
0000493;obecny;088;000017
0000494;nieobecny;089;000017
0000495;spozniony;110;000017
0000496;spozniony;142;000017
0000497;obecny;165;000017
0000498;obecny;174;000017
0000499;obecny;178;000017
0000500;nieobecny;201;000017
0000501;spozniony;223;000017
0000502;spozniony;235;000017
0000503;spozniony;237;000017
0000504;obecny;253;000017
0000505;nieobecny;272;000017
0000506;spozniony;281;000017
0000507;nieobecny;286;000017
0000508;nieobecny;327;000017
0000509;obecny;352;000017
0000510;nieobecny;371;000017
0000511;obecny;401;000017
0000512;spozniony;410;000017
0000513;nieobecny;414;000017
0000514;obecny;455;000017
0000515;nieobecny;459;000017
0000516;spozniony;468;000017
0000517;spozniony;026;000018
0000518;obecny;036;000018
0000519;nieobecny;070;000018
0000520;obecny;082;000018
0000521;obecny;099;000018
0000522;obecny;105;000018
0000523;nieobecny;108;000018
0000524;nieobecny;119;000018
0000525;obecny;136;000018
0000526;spozniony;138;000018
0000527;spozniony;198;000018
0000528;nieobecny;214;000018
0000529;nieobecny;231;000018
0000530;obecny;233;000018
0000531;nieobecny;240;000018
0000532;spozniony;243;000018
0000533;nieobecny;250;000018
0000534;obecny;268;000018
0000535;spozniony;280;000018
0000536;obecny;309;000018
0000537;obecny;316;000018
0000538;spozniony;336;000018
0000539;spozniony;359;000018
0000540;obecny;408;000018
0000541;obecny;411;000018
0000542;spozniony;413;000018
0000543;spozniony;457;000018
0000544;nieobecny;039;000019
0000545;obecny;040;000019
0000546;obecny;054;000019
0000547;nieobecny;055;000019
0000548;spozniony;067;000019
0000549;obecny;083;000019
0000550;spozniony;101;000019
0000551;nieobecny;106;000019
0000552;obecny;145;000019
0000553;obecny;155;000019
0000554;spozniony;156;000019
0000555;obecny;200;000019
0000556;nieobecny;207;000019
0000557;nieobecny;256;000019
0000558;spozniony;267;000019
0000559;spozniony;288;000019
0000560;obecny;295;000019
0000561;spozniony;364;000019
0000562;obecny;382;000019
0000563;nieobecny;392;000019
0000564;spozniony;429;000019
0000565;obecny;430;000019
0000566;nieobecny;448;000019
0000567;nieobecny;475;000019
0000568;nieobecny;026;000020
0000569;nieobecny;036;000020
0000570;spozniony;070;000020
0000571;spozniony;082;000020
0000572;obecny;099;000020
0000573;obecny;105;000020
0000574;obecny;108;000020
0000575;spozniony;119;000020
0000576;nieobecny;136;000020
0000577;spozniony;138;000020
0000578;spozniony;198;000020
0000579;spozniony;214;000020
0000580;spozniony;231;000020
0000581;nieobecny;233;000020
0000582;nieobecny;240;000020
0000583;obecny;243;000020
0000584;obecny;250;000020
0000585;spozniony;268;000020
0000586;nieobecny;280;000020
0000587;obecny;309;000020
0000588;nieobecny;316;000020
0000589;nieobecny;336;000020
0000590;obecny;359;000020
0000591;spozniony;408;000020
0000592;spozniony;411;000020
0000593;obecny;413;000020
0000594;nieobecny;457;000020
0000595;nieobecny;039;000021
0000596;nieobecny;040;000021
0000597;nieobecny;054;000021
0000598;spozniony;055;000021
0000599;obecny;067;000021
0000600;nieobecny;083;000021
0000601;nieobecny;101;000021
0000602;obecny;106;000021
0000603;spozniony;145;000021
0000604;spozniony;155;000021
0000605;obecny;156;000021
0000606;obecny;200;000021
0000607;spozniony;207;000021
0000608;spozniony;256;000021
0000609;spozniony;267;000021
0000610;obecny;288;000021
0000611;nieobecny;295;000021
0000612;obecny;364;000021
0000613;nieobecny;382;000021
0000614;nieobecny;392;000021
0000615;obecny;429;000021
0000616;spozniony;430;000021
0000617;obecny;448;000021
0000618;spozniony;475;000021
0000619;nieobecny;004;000022
0000620;nieobecny;029;000022
0000621;obecny;066;000022
0000622;nieobecny;085;000022
0000623;spozniony;117;000022
0000624;obecny;121;000022
0000625;obecny;122;000022
0000626;spozniony;154;000022
0000627;spozniony;164;000022
0000628;nieobecny;177;000022
0000629;spozniony;180;000022
0000630;nieobecny;195;000022
0000631;obecny;199;000022
0000632;nieobecny;205;000022
0000633;obecny;209;000022
0000634;nieobecny;210;000022
0000635;obecny;218;000022
0000636;nieobecny;221;000022
0000637;nieobecny;289;000022
0000638;spozniony;296;000022
0000639;spozniony;313;000022
0000640;spozniony;314;000022
0000641;spozniony;366;000022
0000642;nieobecny;395;000022
0000643;nieobecny;403;000022
0000644;obecny;405;000022
0000645;obecny;415;000022
0000646;nieobecny;424;000022
0000647;obecny;426;000022
0000648;obecny;441;000022
0000649;nieobecny;444;000022
0000650;obecny;460;000022
0000651;spozniony;466;000022
0000652;obecny;470;000022
0000653;obecny;005;000023
0000654;obecny;033;000023
0000655;spozniony;074;000023
0000656;spozniony;080;000023
0000657;obecny;129;000023
0000658;nieobecny;153;000023
0000659;obecny;172;000023
0000660;obecny;179;000023
0000661;spozniony;208;000023
0000662;spozniony;285;000023
0000663;spozniony;290;000023
0000664;obecny;294;000023
0000665;nieobecny;343;000023
0000666;spozniony;351;000023
0000667;spozniony;375;000023
0000668;obecny;389;000023
0000669;obecny;397;000023
0000670;obecny;420;000023
0000671;nieobecny;443;000023
0000672;obecny;006;000024
0000673;spozniony;015;000024
0000674;obecny;016;000024
0000675;nieobecny;024;000024
0000676;obecny;031;000024
0000677;spozniony;049;000024
0000678;spozniony;068;000024
0000679;spozniony;088;000024
0000680;obecny;089;000024
0000681;obecny;110;000024
0000682;obecny;142;000024
0000683;nieobecny;165;000024
0000684;obecny;174;000024
0000685;obecny;178;000024
0000686;nieobecny;201;000024
0000687;obecny;223;000024
0000688;obecny;235;000024
0000689;spozniony;237;000024
0000690;spozniony;253;000024
0000691;obecny;272;000024
0000692;spozniony;281;000024
0000693;nieobecny;286;000024
0000694;nieobecny;327;000024
0000695;nieobecny;352;000024
0000696;spozniony;371;000024
0000697;nieobecny;401;000024
0000698;obecny;410;000024
0000699;spozniony;414;000024
0000700;nieobecny;455;000024
0000701;obecny;459;000024
0000702;obecny;468;000024
0000703;spozniony;026;000025
0000704;obecny;036;000025
0000705;spozniony;070;000025
0000706;spozniony;082;000025
0000707;obecny;099;000025
0000708;spozniony;105;000025
0000709;nieobecny;108;000025
0000710;obecny;119;000025
0000711;obecny;136;000025
0000712;nieobecny;138;000025
0000713;spozniony;198;000025
0000714;obecny;214;000025
0000715;spozniony;231;000025
0000716;obecny;233;000025
0000717;obecny;240;000025
0000718;nieobecny;243;000025
0000719;obecny;250;000025
0000720;obecny;268;000025
0000721;obecny;280;000025
0000722;spozniony;309;000025
0000723;obecny;316;000025
0000724;obecny;336;000025
0000725;obecny;359;000025
0000726;nieobecny;408;000025
0000727;spozniony;411;000025
0000728;nieobecny;413;000025
0000729;spozniony;457;000025
0000730;obecny;003;000026
0000731;obecny;007;000026
0000732;obecny;021;000026
0000733;spozniony;028;000026
0000734;spozniony;030;000026
0000735;spozniony;048;000026
0000736;nieobecny;051;000026
0000737;spozniony;058;000026
0000738;nieobecny;065;000026
0000739;spozniony;075;000026
0000740;spozniony;079;000026
0000741;nieobecny;102;000026
0000742;nieobecny;140;000026
0000743;spozniony;150;000026
0000744;spozniony;152;000026
0000745;nieobecny;169;000026
0000746;obecny;184;000026
0000747;obecny;185;000026
0000748;obecny;192;000026
0000749;nieobecny;230;000026
0000750;spozniony;234;000026
0000751;nieobecny;236;000026
0000752;spozniony;251;000026
0000753;obecny;269;000026
0000754;obecny;301;000026
0000755;spozniony;330;000026
0000756;nieobecny;341;000026
0000757;nieobecny;365;000026
0000758;nieobecny;391;000026
0000759;spozniony;402;000026
0000760;spozniony;434;000026
0000761;nieobecny;437;000026
0000762;obecny;439;000026
0000763;nieobecny;447;000026
0000764;nieobecny;456;000026
0000765;spozniony;479;000026
0000766;spozniony;004;000027
0000767;obecny;029;000027
0000768;nieobecny;066;000027
0000769;spozniony;085;000027
0000770;spozniony;117;000027
0000771;nieobecny;121;000027
0000772;obecny;122;000027
0000773;obecny;154;000027
0000774;obecny;164;000027
0000775;nieobecny;177;000027
0000776;obecny;180;000027
0000777;obecny;195;000027
0000778;spozniony;199;000027
0000779;obecny;205;000027
0000780;obecny;209;000027
0000781;obecny;210;000027
0000782;spozniony;218;000027
0000783;obecny;221;000027
0000784;obecny;289;000027
0000785;spozniony;296;000027
0000786;nieobecny;313;000027
0000787;nieobecny;314;000027
0000788;nieobecny;366;000027
0000789;nieobecny;395;000027
0000790;spozniony;403;000027
0000791;nieobecny;405;000027
0000792;spozniony;415;000027
0000793;nieobecny;424;000027
0000794;obecny;426;000027
0000795;obecny;441;000027
0000796;spozniony;444;000027
0000797;obecny;460;000027
0000798;obecny;466;000027
0000799;nieobecny;470;000027
0000800;spozniony;019;000028
0000801;nieobecny;035;000028
0000802;obecny;053;000028
0000803;obecny;100;000028
0000804;obecny;114;000028
0000805;spozniony;132;000028
0000806;nieobecny;151;000028
0000807;spozniony;163;000028
0000808;nieobecny;187;000028
0000809;nieobecny;203;000028
0000810;obecny;215;000028
0000811;spozniony;217;000028
0000812;spozniony;226;000028
0000813;nieobecny;239;000028
0000814;spozniony;249;000028
0000815;nieobecny;262;000028
0000816;obecny;265;000028
0000817;nieobecny;279;000028
0000818;nieobecny;299;000028
0000819;obecny;308;000028
0000820;spozniony;315;000028
0000821;spozniony;325;000028
0000822;nieobecny;332;000028
0000823;nieobecny;333;000028
0000824;spozniony;337;000028
0000825;nieobecny;348;000028
0000826;nieobecny;378;000028
0000827;spozniony;388;000028
0000828;spozniony;393;000028
0000829;nieobecny;400;000028
0000830;nieobecny;404;000028
0000831;spozniony;407;000028
0000832;spozniony;442;000028
0000833;nieobecny;463;000028
0000834;obecny;476;000028
0000835;nieobecny;002;000029
0000836;nieobecny;008;000029
0000837;spozniony;018;000029
0000838;nieobecny;022;000029
0000839;nieobecny;034;000029
0000840;obecny;044;000029
0000841;spozniony;050;000029
0000842;nieobecny;069;000029
0000843;spozniony;081;000029
0000844;nieobecny;113;000029
0000845;nieobecny;118;000029
0000846;spozniony;125;000029
0000847;obecny;126;000029
0000848;obecny;128;000029
0000849;nieobecny;131;000029
0000850;nieobecny;133;000029
0000851;obecny;189;000029
0000852;obecny;204;000029
0000853;obecny;224;000029
0000854;spozniony;227;000029
0000855;nieobecny;257;000029
0000856;spozniony;260;000029
0000857;spozniony;298;000029
0000858;nieobecny;310;000029
0000859;obecny;321;000029
0000860;obecny;380;000029
0000861;nieobecny;385;000029
0000862;nieobecny;396;000029
0000863;nieobecny;419;000029
0000864;nieobecny;423;000029
0000865;obecny;464;000029
0000866;spozniony;477;000029
0000867;spozniony;006;000030
0000868;spozniony;015;000030
0000869;nieobecny;016;000030
0000870;nieobecny;024;000030
0000871;spozniony;031;000030
0000872;spozniony;049;000030
0000873;obecny;068;000030
0000874;spozniony;088;000030
0000875;nieobecny;089;000030
0000876;nieobecny;110;000030
0000877;obecny;142;000030
0000878;spozniony;165;000030
0000879;spozniony;174;000030
0000880;spozniony;178;000030
0000881;obecny;201;000030
0000882;obecny;223;000030
0000883;nieobecny;235;000030
0000884;nieobecny;237;000030
0000885;obecny;253;000030
0000886;obecny;272;000030
0000887;nieobecny;281;000030
0000888;obecny;286;000030
0000889;obecny;327;000030
0000890;nieobecny;352;000030
0000891;nieobecny;371;000030
0000892;spozniony;401;000030
0000893;obecny;410;000030
0000894;spozniony;414;000030
0000895;obecny;455;000030
0000896;nieobecny;459;000030
0000897;nieobecny;468;000030
0000898;nieobecny;002;000031
0000899;nieobecny;008;000031
0000900;obecny;018;000031
0000901;obecny;022;000031
0000902;obecny;034;000031
0000903;obecny;044;000031
0000904;spozniony;050;000031
0000905;nieobecny;069;000031
0000906;nieobecny;081;000031
0000907;nieobecny;113;000031
0000908;nieobecny;118;000031
0000909;spozniony;125;000031
0000910;nieobecny;126;000031
0000911;nieobecny;128;000031
0000912;nieobecny;131;000031
0000913;spozniony;133;000031
0000914;nieobecny;189;000031
0000915;obecny;204;000031
0000916;obecny;224;000031
0000917;obecny;227;000031
0000918;nieobecny;257;000031
0000919;spozniony;260;000031
0000920;nieobecny;298;000031
0000921;obecny;310;000031
0000922;spozniony;321;000031
0000923;obecny;380;000031
0000924;obecny;385;000031
0000925;spozniony;396;000031
0000926;obecny;419;000031
0000927;nieobecny;423;000031
0000928;obecny;464;000031
0000929;nieobecny;477;000031
0000930;obecny;005;000032
0000931;spozniony;033;000032
0000932;obecny;074;000032
0000933;nieobecny;080;000032
0000934;spozniony;129;000032
0000935;nieobecny;153;000032
0000936;obecny;172;000032
0000937;nieobecny;179;000032
0000938;nieobecny;208;000032
0000939;obecny;285;000032
0000940;nieobecny;290;000032
0000941;spozniony;294;000032
0000942;spozniony;343;000032
0000943;spozniony;351;000032
0000944;obecny;375;000032
0000945;nieobecny;389;000032
0000946;obecny;397;000032
0000947;nieobecny;420;000032
0000948;nieobecny;443;000032
0000949;obecny;006;000033
0000950;obecny;015;000033
0000951;obecny;016;000033
0000952;nieobecny;024;000033
0000953;nieobecny;031;000033
0000954;nieobecny;049;000033
0000955;spozniony;068;000033
0000956;obecny;088;000033
0000957;nieobecny;089;000033
0000958;nieobecny;110;000033
0000959;nieobecny;142;000033
0000960;obecny;165;000033
0000961;spozniony;174;000033
0000962;spozniony;178;000033
0000963;spozniony;201;000033
0000964;spozniony;223;000033
0000965;nieobecny;235;000033
0000966;spozniony;237;000033
0000967;nieobecny;253;000033
0000968;spozniony;272;000033
0000969;spozniony;281;000033
0000970;nieobecny;286;000033
0000971;spozniony;327;000033
0000972;spozniony;352;000033
0000973;obecny;371;000033
0000974;spozniony;401;000033
0000975;nieobecny;410;000033
0000976;obecny;414;000033
0000977;spozniony;455;000033
0000978;obecny;459;000033
0000979;spozniony;468;000033
0000980;nieobecny;023;000034
0000981;spozniony;032;000034
0000982;obecny;061;000034
0000983;nieobecny;064;000034
0000984;spozniony;072;000034
0000985;spozniony;093;000034
0000986;nieobecny;162;000034
0000987;spozniony;193;000034
0000988;spozniony;194;000034
0000989;spozniony;212;000034
0000990;obecny;219;000034
0000991;nieobecny;222;000034
0000992;obecny;229;000034
0000993;obecny;232;000034
0000994;obecny;242;000034
0000995;nieobecny;261;000034
0000996;nieobecny;271;000034
0000997;nieobecny;278;000034
