ID;stopien;waga;opis;data;uczen;nauczyciel;przedmiot
000041;cel;0;Brak_opisu;2020-03-15 00:00:00;262;042;matematyka
000042;cel;9;Brak_opisu;2020-06-07 00:00:00;361;040;matematyka
000043;cel;2;Brak_opisu;2020-01-06 00:00:00;223;029;WOS
000044;brak;8;Brak_opisu;2020-06-05 00:00:00;479;078;geografia
000045;bdb;8;Brak_opisu;2020-03-05 00:00:00;170;043;geografia
000046;ndst;3;Brak_opisu;2020-04-10 00:00:00;175;078;geografia
000047;cel;2;Brak_opisu;2020-03-24 00:00:00;380;049;chemia
000048;cel;4;Brak_opisu;2020-02-06 00:00:00;473;073;fizyka
000049;brak;8;Brak_opisu;2020-08-16 00:00:00;16;069;matematyka
000050;db;2;Brak_opisu;2020-08-07 00:00:00;416;028;j.niemiecki
000051;ndst;9;Brak_opisu;2020-01-22 00:00:00;446;072;geografia
000052;brak;4;Brak_opisu;2020-10-12 00:00:00;208;087;j.angielski
000053;db;1;Brak_opisu;2020-02-13 00:00:00;3;014;wf
000054;cel;2;Brak_opisu;2020-07-25 00:00:00;117;058;geografia
000055;dop;6;Brak_opisu;2020-06-22 00:00:00;86;053;fizyka
000056;dst;7;Brak_opisu;2020-04-01 00:00:00;110;014;wf
000057;bdb;2;Brak_opisu;2020-06-15 00:00:00;296;020;WOS
000058;ndst;9;Brak_opisu;2020-06-05 00:00:00;136;063;j.niemiecki
000059;ndst;2;Brak_opisu;2020-03-25 00:00:00;417;004;historia
000060;cel;6;Brak_opisu;2020-12-14 00:00:00;390;023;j.niemiecki
000061;ndst;7;Brak_opisu;2020-12-24 00:00:00;47;055;biologia
000062;db;9;Brak_opisu;2020-06-24 00:00:00;143;060;j.angielski
000063;ndst;1;Brak_opisu;2020-11-23 00:00:00;68;057;historia
000064;bdb;9;Brak_opisu;2020-02-27 00:00:00;464;011;wf
000065;dop;9;Brak_opisu;2020-04-28 00:00:00;161;089;j.angielski
000066;db;0;Brak_opisu;2020-02-03 00:00:00;307;069;matematyka
000067;ndst;3;Brak_opisu;2020-07-05 00:00:00;415;077;j.polski
000068;dst;4;Brak_opisu;2020-05-03 00:00:00;357;099;j.polski
000069;db;0;Brak_opisu;2020-04-06 00:00:00;89;017;historia
000070;dst;4;Brak_opisu;2020-03-22 00:00:00;167;051;chemia
000071;dst;2;Brak_opisu;2020-07-21 00:00:00;36;046;j.niemiecki
000072;cel;4;Brak_opisu;2020-02-08 00:00:00;43;011;wf
000073;dst;6;Brak_opisu;2020-01-04 00:00:00;61;029;WOS
000074;dop;3;Brak_opisu;2020-05-15 00:00:00;132;065;biologia
000075;bdb;1;Brak_opisu;2020-12-16 00:00:00;233;052;j.niemiecki
000076;ndst;4;Brak_opisu;2020-02-09 00:00:00;306;038;WOS
000077;db;3;Brak_opisu;2020-03-07 00:00:00;52;022;historia
000078;db;8;Brak_opisu;2020-01-05 00:00:00;127;056;j.polski
000079;brak;2;Brak_opisu;2020-03-15 00:00:00;346;051;chemia
000080;brak;0;Brak_opisu;2020-04-12 00:00:00;239;019;j.angielski
000081;dop;5;Brak_opisu;2020-09-03 00:00:00;107;019;j.angielski
000082;ndst;7;Brak_opisu;2020-04-21 00:00:00;74;088;biologia
000083;db;1;Brak_opisu;2020-03-07 00:00:00;57;060;j.angielski
000084;dst;3;Brak_opisu;2020-08-15 00:00:00;455;020;WOS
000085;brak;7;Brak_opisu;2020-06-17 00:00:00;154;020;WOS
000086;bdb;9;Brak_opisu;2020-11-13 00:00:00;125;043;geografia
000087;ndst;9;Brak_opisu;2020-06-04 00:00:00;463;002;biologia
000088;cel;7;Brak_opisu;2020-07-01 00:00:00;413;062;matematyka
000089;cel;5;Brak_opisu;2020-03-12 00:00:00;144;075;j.polski
000090;db;1;Brak_opisu;2020-01-22 00:00:00;13;082;j.niemiecki
000091;brak;5;Brak_opisu;2020-03-24 00:00:00;329;045;j.angielski
000092;dst;3;Brak_opisu;2020-01-02 00:00:00;469;014;wf
000093;bdb;8;Brak_opisu;2020-10-03 00:00:00;477;015;j.polski
000094;bdb;1;Brak_opisu;2020-08-23 00:00:00;287;050;chemia
000095;ndst;7;Brak_opisu;2020-09-06 00:00:00;321;090;matematyka
000096;dop;7;Brak_opisu;2020-12-14 00:00:00;385;078;geografia
000097;dst;7;Brak_opisu;2020-07-03 00:00:00;168;002;biologia
000098;brak;9;Brak_opisu;2020-12-09 00:00:00;400;078;geografia
000099;bdb;6;Brak_opisu;2020-06-28 00:00:00;417;026;chemia
000100;bdb;1;Brak_opisu;2020-01-02 00:00:00;179;003;j.angielski
000101;bdb;3;Brak_opisu;2020-07-04 00:00:00;147;005;j.niemiecki
000102;dop;3;Brak_opisu;2020-05-21 00:00:00;107;085;wf
000103;bdb;3;Brak_opisu;2020-09-14 00:00:00;67;053;fizyka
000104;db;0;Brak_opisu;2020-04-11 00:00:00;475;007;wf
000105;brak;0;Brak_opisu;2020-06-07 00:00:00;316;017;historia
000106;ndst;2;Brak_opisu;2020-06-11 00:00:00;435;094;wf
000107;dst;0;Brak_opisu;2020-08-20 00:00:00;352;097;historia
000108;bdb;4;Brak_opisu;2020-08-03 00:00:00;14;088;biologia
000109;bdb;1;Brak_opisu;2020-06-16 00:00:00;358;038;WOS
000110;ndst;4;Brak_opisu;2020-06-02 00:00:00;121;047;geografia
000111;brak;8;Brak_opisu;2020-11-05 00:00:00;471;088;biologia
000112;bdb;8;Brak_opisu;2020-12-09 00:00:00;290;094;wf
000113;dst;3;Brak_opisu;2020-01-25 00:00:00;476;067;fizyka
000114;cel;1;Brak_opisu;2020-03-16 00:00:00;220;081;chemia
000115;bdb;9;Brak_opisu;2020-12-14 00:00:00;94;035;geografia
000116;db;5;Brak_opisu;2020-11-19 00:00:00;389;094;wf
000117;db;1;Brak_opisu;2020-10-22 00:00:00;469;006;historia
000118;ndst;5;Brak_opisu;2020-03-21 00:00:00;236;007;wf
000119;dst;2;Brak_opisu;2020-02-12 00:00:00;111;059;fizyka
000120;dst;6;Brak_opisu;2020-06-10 00:00:00;71;039;fizyka
000121;cel;2;Brak_opisu;2020-07-24 00:00:00;288;063;j.niemiecki
000122;bdb;4;Brak_opisu;2020-11-02 00:00:00;303;001;matematyka
000123;bdb;4;Brak_opisu;2020-05-01 00:00:00;450;021;geografia
000124;brak;8;Brak_opisu;2020-01-16 00:00:00;166;074;j.niemiecki
000125;dop;6;Brak_opisu;2020-06-12 00:00:00;137;053;fizyka
000126;dst;1;Brak_opisu;2020-08-02 00:00:00;172;022;historia
000127;brak;8;Brak_opisu;2020-10-20 00:00:00;112;067;fizyka
000128;cel;6;Brak_opisu;2020-02-19 00:00:00;142;068;geografia
000129;cel;9;Brak_opisu;2020-09-07 00:00:00;322;019;j.angielski
000130;brak;4;Brak_opisu;2020-02-25 00:00:00;129;029;WOS
000131;dop;1;Brak_opisu;2020-06-10 00:00:00;356;075;j.polski
000132;brak;8;Brak_opisu;2020-07-15 00:00:00;170;088;biologia
000133;dst;8;Brak_opisu;2020-12-17 00:00:00;2;035;geografia
000134;bdb;9;Brak_opisu;2020-10-28 00:00:00;222;032;historia
000135;bdb;8;Brak_opisu;2020-11-15 00:00:00;479;076;historia
000136;db;3;Brak_opisu;2020-03-16 00:00:00;192;013;fizyka
000137;dop;1;Brak_opisu;2020-01-14 00:00:00;118;041;fizyka
000138;cel;5;Brak_opisu;2020-10-24 00:00:00;304;078;geografia
000139;cel;5;Brak_opisu;2020-11-01 00:00:00;219;077;j.polski
000140;brak;6;Brak_opisu;2020-10-09 00:00:00;28;013;fizyka
000141;db;3;Brak_opisu;2020-11-22 00:00:00;99;045;j.angielski
000142;brak;8;Brak_opisu;2020-11-19 00:00:00;378;029;WOS
000143;bdb;1;Brak_opisu;2020-02-11 00:00:00;475;046;j.niemiecki
000144;bdb;8;Brak_opisu;2020-06-02 00:00:00;279;084;WOS
000145;brak;6;Brak_opisu;2020-09-14 00:00:00;158;054;biologia
000146;brak;9;Brak_opisu;2020-06-06 00:00:00;123;048;j.angielski
000147;dop;6;Brak_opisu;2020-05-08 00:00:00;415;016;matematyka
000148;brak;6;Brak_opisu;2020-09-25 00:00:00;75;047;geografia
000149;bdb;3;Brak_opisu;2020-12-01 00:00:00;350;018;fizyka
000150;bdb;2;Brak_opisu;2020-08-02 00:00:00;47;096;biologia
000151;dop;5;Brak_opisu;2020-04-08 00:00:00;200;009;fizyka
000152;ndst;2;Brak_opisu;2020-11-21 00:00:00;282;048;j.angielski
000153;bdb;5;Brak_opisu;2020-04-03 00:00:00;249;069;matematyka
000154;dop;6;Brak_opisu;2020-03-17 00:00:00;184;029;WOS
000155;brak;9;Brak_opisu;2020-12-02 00:00:00;288;058;geografia
000156;dst;7;Brak_opisu;2020-03-08 00:00:00;443;002;biologia
000157;brak;9;Brak_opisu;2020-01-28 00:00:00;116;047;geografia
000158;dop;9;Brak_opisu;2020-06-04 00:00:00;343;019;j.angielski
000159;ndst;2;Brak_opisu;2020-09-23 00:00:00;105;044;j.polski
000160;brak;8;Brak_opisu;2020-03-01 00:00:00;353;041;fizyka
000161;brak;8;Brak_opisu;2020-05-10 00:00:00;126;083;geografia
000162;dop;6;Brak_opisu;2020-06-12 00:00:00;257;097;historia
000163;bdb;8;Brak_opisu;2020-04-10 00:00:00;194;046;j.niemiecki
000164;bdb;4;Brak_opisu;2020-09-06 00:00:00;141;059;fizyka
000165;dst;5;Brak_opisu;2020-05-16 00:00:00;213;084;WOS
000166;bdb;0;Brak_opisu;2020-08-21 00:00:00;340;076;historia
000167;brak;8;Brak_opisu;2020-10-23 00:00:00;52;032;historia
000168;db;1;Brak_opisu;2020-09-12 00:00:00;53;031;chemia
000169;db;2;Brak_opisu;2020-04-21 00:00:00;377;095;fizyka
000170;bdb;6;Brak_opisu;2020-11-26 00:00:00;319;051;chemia
000171;cel;7;Brak_opisu;2020-05-23 00:00:00;316;001;matematyka
000172;cel;0;Brak_opisu;2020-02-25 00:00:00;469;056;j.polski
000173;dst;7;Brak_opisu;2020-12-04 00:00:00;309;001;matematyka
000174;brak;9;Brak_opisu;2020-05-26 00:00:00;282;026;chemia
000175;dst;5;Brak_opisu;2020-12-11 00:00:00;133;027;matematyka
000176;dst;0;Brak_opisu;2020-11-09 00:00:00;427;026;chemia
000177;db;7;Brak_opisu;2020-08-16 00:00:00;325;040;matematyka
000178;brak;3;Brak_opisu;2020-07-11 00:00:00;355;079;j.niemiecki
000179;cel;0;Brak_opisu;2020-06-11 00:00:00;325;018;fizyka
000180;cel;3;Brak_opisu;2020-06-10 00:00:00;459;079;j.niemiecki
000181;ndst;2;Brak_opisu;2020-12-13 00:00:00;50;001;matematyka
000182;ndst;0;Brak_opisu;2020-07-03 00:00:00;11;087;j.angielski
000183;dst;1;Brak_opisu;2020-02-07 00:00:00;378;061;j.angielski
000184;dst;2;Brak_opisu;2020-07-19 00:00:00;147;043;geografia
000185;dop;2;Brak_opisu;2020-03-26 00:00:00;195;017;historia
000186;dst;4;Brak_opisu;2020-12-01 00:00:00;359;046;j.niemiecki
000187;dop;1;Brak_opisu;2020-04-04 00:00:00;154;053;fizyka
000188;cel;7;Brak_opisu;2020-01-22 00:00:00;267;092;WOS
000189;brak;6;Brak_opisu;2020-04-17 00:00:00;350;085;wf
000190;dop;0;Brak_opisu;2020-07-28 00:00:00;458;031;chemia
000191;ndst;6;Brak_opisu;2020-12-24 00:00:00;349;078;geografia
000192;dst;4;Brak_opisu;2020-04-13 00:00:00;123;009;fizyka
000193;db;6;Brak_opisu;2020-08-12 00:00:00;129;005;j.niemiecki
000194;ndst;7;Brak_opisu;2020-06-03 00:00:00;17;085;wf
000195;db;8;Brak_opisu;2020-04-08 00:00:00;115;082;j.niemiecki
000196;dop;1;Brak_opisu;2020-11-03 00:00:00;466;087;j.angielski
000197;dop;6;Brak_opisu;2020-02-03 00:00:00;348;028;j.niemiecki
000198;ndst;7;Brak_opisu;2020-04-19 00:00:00;242;077;j.polski
000199;dop;0;Brak_opisu;2020-08-24 00:00:00;46;084;WOS
000200;dop;6;Brak_opisu;2020-02-14 00:00:00;423;019;j.angielski
000201;dop;3;Brak_opisu;2020-10-15 00:00:00;148;013;fizyka
000202;dst;5;Brak_opisu;2020-02-08 00:00:00;145;030;j.polski
000203;dst;6;Brak_opisu;2020-03-13 00:00:00;156;057;historia
000204;dst;4;Brak_opisu;2020-03-13 00:00:00;84;043;geografia
000205;brak;8;Brak_opisu;2020-01-19 00:00:00;108;084;WOS
000206;dst;0;Brak_opisu;2020-04-23 00:00:00;156;080;j.angielski
000207;db;3;Brak_opisu;2020-02-04 00:00:00;76;015;j.polski
000208;brak;4;Brak_opisu;2020-03-15 00:00:00;126;026;chemia
000209;cel;9;Brak_opisu;2020-06-10 00:00:00;326;033;j.niemiecki
000210;db;4;Brak_opisu;2020-07-05 00:00:00;237;058;geografia
000211;ndst;3;Brak_opisu;2020-08-14 00:00:00;195;079;j.niemiecki
000212;dst;5;Brak_opisu;2020-10-20 00:00:00;200;081;chemia
000213;bdb;4;Brak_opisu;2020-03-09 00:00:00;249;077;j.polski
000214;cel;8;Brak_opisu;2020-10-04 00:00:00;138;010;biologia
000215;dst;9;Brak_opisu;2020-10-13 00:00:00;81;073;fizyka
000216;bdb;9;Brak_opisu;2020-04-12 00:00:00;15;066;j.angielski
000217;cel;9;Brak_opisu;2020-02-21 00:00:00;34;034;j.niemiecki
000218;db;2;Brak_opisu;2020-04-14 00:00:00;190;036;chemia
000219;cel;6;Brak_opisu;2020-02-27 00:00:00;361;051;chemia
000220;cel;8;Brak_opisu;2020-12-21 00:00:00;158;052;j.niemiecki
000221;cel;6;Brak_opisu;2020-09-26 00:00:00;350;012;geografia
000222;dop;2;Brak_opisu;2020-03-08 00:00:00;387;049;chemia
000223;dst;3;Brak_opisu;2020-02-22 00:00:00;73;065;biologia
000224;cel;9;Brak_opisu;2020-10-28 00:00:00;284;084;WOS
000225;dop;7;Brak_opisu;2020-02-04 00:00:00;470;017;historia
000226;bdb;6;Brak_opisu;2020-03-23 00:00:00;304;045;j.angielski
000227;ndst;1;Brak_opisu;2020-02-14 00:00:00;308;005;j.niemiecki
000228;dst;9;Brak_opisu;2020-09-10 00:00:00;166;017;historia
000229;bdb;3;Brak_opisu;2020-11-05 00:00:00;398;094;wf
000230;ndst;7;Brak_opisu;2020-08-10 00:00:00;189;001;matematyka
000231;dop;9;Brak_opisu;2020-07-28 00:00:00;402;057;historia
000232;dop;2;Brak_opisu;2020-03-11 00:00:00;13;048;j.angielski
000233;bdb;7;Brak_opisu;2020-07-15 00:00:00;149;073;fizyka
000234;brak;3;Brak_opisu;2020-09-17 00:00:00;290;029;WOS
000235;cel;4;Brak_opisu;2020-04-26 00:00:00;318;083;geografia
000236;brak;0;Brak_opisu;2020-05-10 00:00:00;191;030;j.polski
000237;cel;9;Brak_opisu;2020-07-13 00:00:00;26;013;fizyka
000238;ndst;5;Brak_opisu;2020-11-11 00:00:00;84;077;j.polski
000239;bdb;2;Brak_opisu;2020-06-26 00:00:00;318;097;historia
000240;ndst;7;Brak_opisu;2020-06-05 00:00:00;60;032;historia
000241;bdb;1;Brak_opisu;2020-07-10 00:00:00;456;082;j.niemiecki
000242;brak;8;Brak_opisu;2020-05-24 00:00:00;390;080;j.angielski
000243;db;1;Brak_opisu;2020-01-13 00:00:00;317;036;chemia
000244;cel;0;Brak_opisu;2020-07-24 00:00:00;432;016;matematyka
000245;dst;9;Brak_opisu;2020-10-19 00:00:00;217;018;fizyka
000246;brak;8;Brak_opisu;2020-07-12 00:00:00;403;001;matematyka
000247;cel;7;Brak_opisu;2020-02-11 00:00:00;71;068;geografia
000248;dop;1;Brak_opisu;2020-05-05 00:00:00;191;005;j.niemiecki
000249;brak;8;Brak_opisu;2020-11-26 00:00:00;328;053;fizyka
000250;dst;0;Brak_opisu;2020-12-04 00:00:00;168;073;fizyka
000251;cel;3;Brak_opisu;2020-03-11 00:00:00;466;085;wf
000252;ndst;1;Brak_opisu;2020-02-03 00:00:00;307;099;j.polski
000253;brak;5;Brak_opisu;2020-09-19 00:00:00;264;094;wf
000254;db;5;Brak_opisu;2020-10-25 00:00:00;305;010;biologia
000255;brak;7;Brak_opisu;2020-06-13 00:00:00;61;066;j.angielski
000256;dop;9;Brak_opisu;2020-06-23 00:00:00;142;040;matematyka
000257;bdb;8;Brak_opisu;2020-02-17 00:00:00;264;072;geografia
000258;ndst;5;Brak_opisu;2020-10-19 00:00:00;67;067;fizyka
000259;ndst;9;Brak_opisu;2020-06-21 00:00:00;84;100;WOS
000260;cel;9;Brak_opisu;2020-02-21 00:00:00;293;076;historia
000261;cel;5;Brak_opisu;2020-10-04 00:00:00;134;058;geografia
000262;db;4;Brak_opisu;2020-01-11 00:00:00;358;032;historia
000263;dop;1;Brak_opisu;2020-10-01 00:00:00;159;036;chemia
000264;bdb;5;Brak_opisu;2020-09-18 00:00:00;1;036;chemia
000265;cel;7;Brak_opisu;2020-12-11 00:00:00;275;041;fizyka
000266;db;3;Brak_opisu;2020-01-16 00:00:00;101;087;j.angielski
000267;dop;4;Brak_opisu;2020-02-11 00:00:00;230;013;fizyka
000268;db;1;Brak_opisu;2020-07-27 00:00:00;3;008;geografia
000269;brak;3;Brak_opisu;2020-08-09 00:00:00;99;059;fizyka
000270;dst;1;Brak_opisu;2020-05-26 00:00:00;216;048;j.angielski
000271;bdb;6;Brak_opisu;2020-07-12 00:00:00;30;026;chemia
000272;bdb;2;Brak_opisu;2020-08-24 00:00:00;257;055;biologia
000273;bdb;6;Brak_opisu;2020-10-13 00:00:00;223;018;fizyka
000274;bdb;5;Brak_opisu;2020-07-02 00:00:00;135;099;j.polski
000275;db;9;Brak_opisu;2020-12-19 00:00:00;429;025;wf
000276;dop;6;Brak_opisu;2020-08-21 00:00:00;392;055;biologia
000277;dst;5;Brak_opisu;2020-08-17 00:00:00;336;011;wf
000278;bdb;9;Brak_opisu;2020-07-25 00:00:00;189;039;fizyka
000279;brak;4;Brak_opisu;2020-04-24 00:00:00;51;089;j.angielski
000280;bdb;4;Brak_opisu;2020-09-05 00:00:00;402;092;WOS
000281;db;7;Brak_opisu;2020-01-27 00:00:00;11;029;WOS
000282;bdb;8;Brak_opisu;2020-09-21 00:00:00;270;017;historia
000283;ndst;5;Brak_opisu;2020-09-05 00:00:00;129;023;j.niemiecki
000284;ndst;0;Brak_opisu;2020-06-13 00:00:00;143;009;fizyka
000285;dst;6;Brak_opisu;2020-07-17 00:00:00;255;089;j.angielski
000286;bdb;4;Brak_opisu;2020-09-20 00:00:00;170;093;j.angielski
000287;db;1;Brak_opisu;2020-01-26 00:00:00;411;023;j.niemiecki
000288;dst;7;Brak_opisu;2020-03-02 00:00:00;263;073;fizyka
000289;db;3;Brak_opisu;2020-07-28 00:00:00;466;062;matematyka
000290;ndst;9;Brak_opisu;2020-01-22 00:00:00;115;010;biologia
000291;dst;7;Brak_opisu;2020-03-24 00:00:00;300;050;chemia
000292;cel;6;Brak_opisu;2020-04-28 00:00:00;97;039;fizyka
000293;ndst;7;Brak_opisu;2020-10-24 00:00:00;474;048;j.angielski
000294;dst;5;Brak_opisu;2020-06-28 00:00:00;167;053;fizyka
000295;dst;7;Brak_opisu;2020-03-06 00:00:00;354;099;j.polski
000296;ndst;2;Brak_opisu;2020-04-06 00:00:00;206;060;j.angielski
000297;bdb;1;Brak_opisu;2020-03-18 00:00:00;426;099;j.polski
000298;bdb;4;Brak_opisu;2020-05-05 00:00:00;372;025;wf
000299;bdb;4;Brak_opisu;2020-02-23 00:00:00;64;042;matematyka
000300;cel;8;Brak_opisu;2020-01-21 00:00:00;188;038;WOS
000301;brak;7;Brak_opisu;2020-12-23 00:00:00;116;063;j.niemiecki
000302;brak;9;Brak_opisu;2020-05-10 00:00:00;444;050;chemia
000303;bdb;1;Brak_opisu;2020-11-17 00:00:00;108;008;geografia
000304;db;9;Brak_opisu;2020-04-04 00:00:00;119;099;j.polski
000305;dst;6;Brak_opisu;2020-02-11 00:00:00;347;067;fizyka
000306;bdb;9;Brak_opisu;2020-11-09 00:00:00;38;031;chemia
000307;bdb;1;Brak_opisu;2020-08-12 00:00:00;276;058;geografia
000308;dst;5;Brak_opisu;2020-06-13 00:00:00;321;026;chemia
000309;dop;0;Brak_opisu;2020-05-01 00:00:00;369;044;j.polski
000310;cel;7;Brak_opisu;2020-08-25 00:00:00;453;030;j.polski
000311;dst;1;Brak_opisu;2020-08-17 00:00:00;354;009;fizyka
000312;brak;9;Brak_opisu;2020-06-26 00:00:00;435;001;matematyka
000313;dop;5;Brak_opisu;2020-05-09 00:00:00;237;001;matematyka
000314;brak;9;Brak_opisu;2020-12-08 00:00:00;103;072;geografia
000315;cel;5;Brak_opisu;2020-01-26 00:00:00;231;097;historia
000316;dop;7;Brak_opisu;2020-07-22 00:00:00;128;005;j.niemiecki
000317;bdb;0;Brak_opisu;2020-05-07 00:00:00;11;049;chemia
000318;bdb;4;Brak_opisu;2020-12-14 00:00:00;399;027;matematyka
000319;db;9;Brak_opisu;2020-09-03 00:00:00;321;070;wf
000320;bdb;5;Brak_opisu;2020-08-11 00:00:00;170;062;matematyka
000321;bdb;8;Brak_opisu;2020-09-14 00:00:00;60;088;biologia
000322;dst;3;Brak_opisu;2020-04-14 00:00:00;379;026;chemia
000323;dst;7;Brak_opisu;2020-08-11 00:00:00;320;031;chemia
000324;ndst;3;Brak_opisu;2020-05-12 00:00:00;76;070;wf
000325;brak;1;Brak_opisu;2020-02-16 00:00:00;313;028;j.niemiecki
000326;brak;0;Brak_opisu;2020-05-05 00:00:00;372;024;j.polski
000327;cel;2;Brak_opisu;2020-11-06 00:00:00;71;065;biologia
000328;cel;3;Brak_opisu;2020-03-27 00:00:00;239;081;chemia
000329;dst;3;Brak_opisu;2020-10-15 00:00:00;323;042;matematyka
000330;cel;1;Brak_opisu;2020-11-26 00:00:00;292;073;fizyka
000331;dst;9;Brak_opisu;2020-07-21 00:00:00;365;092;WOS
000332;dst;0;Brak_opisu;2020-12-28 00:00:00;206;002;biologia
000333;cel;6;Brak_opisu;2020-03-19 00:00:00;124;007;wf
000334;db;1;Brak_opisu;2020-10-16 00:00:00;471;031;chemia
000335;cel;4;Brak_opisu;2020-10-01 00:00:00;46;004;historia
000336;brak;1;Brak_opisu;2020-07-16 00:00:00;76;042;matematyka
000337;cel;2;Brak_opisu;2020-11-27 00:00:00;194;025;wf
000338;ndst;5;Brak_opisu;2020-12-22 00:00:00;28;038;WOS
000339;bdb;4;Brak_opisu;2020-05-08 00:00:00;41;020;WOS
000340;cel;2;Brak_opisu;2020-05-04 00:00:00;11;033;j.niemiecki
000341;dst;6;Brak_opisu;2020-02-05 00:00:00;336;088;biologia
000342;db;8;Brak_opisu;2020-09-17 00:00:00;460;061;j.angielski
000343;brak;7;Brak_opisu;2020-12-23 00:00:00;251;035;geografia
000344;db;5;Brak_opisu;2020-06-11 00:00:00;402;026;chemia
000345;dst;9;Brak_opisu;2020-08-20 00:00:00;78;068;geografia
000346;dop;6;Brak_opisu;2020-12-02 00:00:00;475;063;j.niemiecki
000347;db;1;Brak_opisu;2020-02-26 00:00:00;54;083;geografia
000348;dst;7;Brak_opisu;2020-10-20 00:00:00;157;011;wf
000349;brak;0;Brak_opisu;2020-12-22 00:00:00;240;063;j.niemiecki
000350;ndst;4;Brak_opisu;2020-04-25 00:00:00;189;045;j.angielski
000351;db;2;Brak_opisu;2020-11-02 00:00:00;381;038;WOS
000352;dop;0;Brak_opisu;2020-02-18 00:00:00;49;050;chemia
000353;dop;0;Brak_opisu;2020-06-14 00:00:00;462;050;chemia
000354;db;5;Brak_opisu;2020-03-24 00:00:00;284;056;j.polski
000355;brak;7;Brak_opisu;2020-12-12 00:00:00;22;022;historia
000356;cel;8;Brak_opisu;2020-05-14 00:00:00;120;045;j.angielski
000357;dst;7;Brak_opisu;2020-08-12 00:00:00;289;097;historia
000358;brak;7;Brak_opisu;2020-07-01 00:00:00;236;067;fizyka
000359;ndst;4;Brak_opisu;2020-02-13 00:00:00;369;019;j.angielski
000360;dst;6;Brak_opisu;2020-04-07 00:00:00;93;059;fizyka
000361;dop;8;Brak_opisu;2020-01-23 00:00:00;295;007;wf
000362;bdb;7;Brak_opisu;2020-09-06 00:00:00;222;005;j.niemiecki
000363;cel;8;Brak_opisu;2020-05-08 00:00:00;453;066;j.angielski
000364;db;7;Brak_opisu;2020-06-28 00:00:00;439;028;j.niemiecki
000365;ndst;9;Brak_opisu;2020-04-16 00:00:00;130;032;historia
000366;db;2;Brak_opisu;2020-07-06 00:00:00;376;061;j.angielski
000367;cel;5;Brak_opisu;2020-01-16 00:00:00;271;058;geografia
