ID;temat;data;godz_rozp;godz_zak;klasa;nauczyciel;przedmiot
000066;Brak_tematu;2020-06-16;08:00:00;08:45:00;12;081;chemia
000067;Brak_tematu;2020-08-27;08:00:00;08:45:00;09;028;j.niemiecki
000068;Brak_tematu;2020-10-10;08:00:00;08:45:00;07;055;biologia
000069;Brak_tematu;2020-02-13;08:00:00;08:45:00;02;015;j.polski
000070;Brak_tematu;2020-04-15;08:00:00;08:45:00;02;013;fizyka
000071;Brak_tematu;2020-07-23;08:00:00;08:45:00;13;021;geografia
000072;Brak_tematu;2020-11-15;08:00:00;08:45:00;03;038;WOS
000073;Brak_tematu;2020-09-09;08:00:00;08:45:00;11;031;chemia
000074;Brak_tematu;2020-08-04;08:00:00;08:45:00;15;004;historia
000075;Brak_tematu;2020-07-21;08:00:00;08:45:00;07;050;chemia
000076;Brak_tematu;2020-03-04;08:00:00;08:45:00;12;038;WOS
000077;Brak_tematu;2020-02-06;08:00:00;08:45:00;04;072;geografia
000078;Brak_tematu;2020-10-21;08:00:00;08:45:00;11;052;j.niemiecki
000079;Brak_tematu;2020-10-22;08:00:00;08:45:00;16;081;chemia
000080;Brak_tematu;2020-09-14;08:00:00;08:45:00;11;010;biologia
000081;Brak_tematu;2020-12-13;08:00:00;08:45:00;11;009;fizyka
000082;Brak_tematu;2020-01-17;08:00:00;08:45:00;15;016;matematyka
000083;Brak_tematu;2020-01-17;08:00:00;08:45:00;16;063;j.niemiecki
000084;Brak_tematu;2020-04-09;08:00:00;08:45:00;04;059;fizyka
000085;Brak_tematu;2020-04-10;08:00:00;08:45:00;16;027;matematyka
000086;Brak_tematu;2020-06-20;08:00:00;08:45:00;05;016;matematyka
000087;Brak_tematu;2020-12-07;08:00:00;08:45:00;11;024;j.polski
000088;Brak_tematu;2020-02-14;08:00:00;08:45:00;11;093;j.angielski
000089;Brak_tematu;2020-02-22;08:00:00;08:45:00;10;025;wf
000090;Brak_tematu;2020-05-04;08:00:00;08:45:00;10;062;matematyka
000091;Brak_tematu;2020-04-19;08:00:00;08:45:00;07;010;biologia
000092;Brak_tematu;2020-05-05;08:00:00;08:45:00;04;040;matematyka
000093;Brak_tematu;2020-03-21;08:00:00;08:45:00;14;004;historia
000094;Brak_tematu;2020-09-22;08:00:00;08:45:00;04;012;geografia
000095;Brak_tematu;2020-01-02;08:00:00;08:45:00;08;010;biologia
000096;Brak_tematu;2020-07-14;08:00:00;08:45:00;10;034;j.niemiecki
000097;Brak_tematu;2020-02-19;08:00:00;08:45:00;16;092;WOS
000098;Brak_tematu;2020-07-22;08:00:00;08:45:00;16;100;WOS
000099;Brak_tematu;2020-01-14;08:00:00;08:45:00;16;068;geografia
000100;Brak_tematu;2020-09-09;08:00:00;08:45:00;08;068;geografia
000101;Brak_tematu;2020-05-12;08:00:00;08:45:00;06;042;matematyka
000102;Brak_tematu;2020-03-22;08:00:00;08:45:00;10;051;chemia
000103;Brak_tematu;2020-09-08;08:00:00;08:45:00;05;081;chemia
000104;Brak_tematu;2020-09-10;08:00:00;08:45:00;16;088;biologia
000105;Brak_tematu;2020-08-07;08:00:00;08:45:00;04;058;geografia
000106;Brak_tematu;2020-02-28;08:00:00;08:45:00;04;015;j.polski
000107;Brak_tematu;2020-10-09;08:00:00;08:45:00;02;098;historia
000108;Brak_tematu;2020-12-14;08:00:00;08:45:00;14;035;geografia
000109;Brak_tematu;2020-04-06;08:00:00;08:45:00;07;088;biologia
000110;Brak_tematu;2020-11-17;08:00:00;08:45:00;15;019;j.angielski
000111;Brak_tematu;2020-01-03;08:00:00;08:45:00;13;058;geografia
000112;Brak_tematu;2020-07-08;08:00:00;08:45:00;15;037;j.polski
000113;Brak_tematu;2020-06-02;08:00:00;08:45:00;09;091;chemia
000114;Brak_tematu;2020-09-12;08:00:00;08:45:00;08;029;WOS
000115;Brak_tematu;2020-08-02;08:00:00;08:45:00;09;020;WOS
000116;Brak_tematu;2020-11-23;08:00:00;08:45:00;07;047;geografia
000117;Brak_tematu;2020-07-14;08:00:00;08:45:00;05;067;fizyka
000118;Brak_tematu;2020-05-06;08:00:00;08:45:00;16;094;wf
000119;Brak_tematu;2020-05-26;08:00:00;08:45:00;14;005;j.niemiecki
000120;Brak_tematu;2020-02-09;08:00:00;08:45:00;11;015;j.polski
000121;Brak_tematu;2020-08-07;08:00:00;08:45:00;05;014;wf
000122;Brak_tematu;2020-12-06;08:00:00;08:45:00;09;085;wf
000123;Brak_tematu;2020-03-25;08:00:00;08:45:00;14;051;chemia
000124;Brak_tematu;2020-12-09;08:00:00;08:45:00;11;023;j.niemiecki
000125;Brak_tematu;2020-08-13;08:00:00;08:45:00;16;095;fizyka
000126;Brak_tematu;2020-05-02;08:00:00;08:45:00;15;077;j.polski
000127;Brak_tematu;2020-10-10;08:00:00;08:45:00;05;025;wf
000128;Brak_tematu;2020-10-12;08:00:00;08:45:00;13;007;wf
000129;Brak_tematu;2020-05-13;08:00:00;08:45:00;15;014;wf
000130;Brak_tematu;2020-08-07;08:00:00;08:45:00;05;085;wf
000131;Brak_tematu;2020-01-04;08:00:00;08:45:00;16;053;fizyka
000132;Brak_tematu;2020-04-14;08:00:00;08:45:00;01;001;matematyka
000133;Brak_tematu;2020-02-25;08:00:00;08:45:00;15;083;geografia
000134;Brak_tematu;2020-07-25;08:00:00;08:45:00;09;016;matematyka
000135;Brak_tematu;2020-05-21;08:00:00;08:45:00;02;079;j.niemiecki
000136;Brak_tematu;2020-02-24;08:00:00;08:45:00;09;094;wf
000137;Brak_tematu;2020-12-09;08:00:00;08:45:00;16;075;j.polski
000138;Brak_tematu;2020-10-11;08:00:00;08:45:00;04;062;matematyka
000139;Brak_tematu;2020-01-14;08:00:00;08:45:00;08;086;WOS
000140;Brak_tematu;2020-04-13;08:00:00;08:45:00;12;032;historia
000141;Brak_tematu;2020-09-07;08:00:00;08:45:00;02;017;historia
000142;Brak_tematu;2020-11-15;08:00:00;08:45:00;12;003;j.angielski
000143;Brak_tematu;2020-11-13;08:00:00;08:45:00;07;037;j.polski
000144;Brak_tematu;2020-03-02;08:00:00;08:45:00;05;065;biologia
000145;Brak_tematu;2020-07-01;08:00:00;08:45:00;08;084;WOS
000146;Brak_tematu;2020-10-26;08:00:00;08:45:00;11;060;j.angielski
000147;Brak_tematu;2020-10-02;08:00:00;08:45:00;14;012;geografia
000148;Brak_tematu;2020-02-26;08:00:00;08:45:00;16;082;j.niemiecki
000149;Brak_tematu;2020-08-13;08:00:00;08:45:00;07;069;matematyka
000150;Brak_tematu;2020-01-03;08:00:00;08:45:00;15;082;j.niemiecki
000151;Brak_tematu;2020-10-21;08:00:00;08:45:00;06;068;geografia
000152;Brak_tematu;2020-10-14;08:00:00;08:45:00;07;083;geografia
000153;Brak_tematu;2020-04-25;08:00:00;08:45:00;12;011;wf
000154;Brak_tematu;2020-06-03;08:00:00;08:45:00;03;004;historia
000155;Brak_tematu;2020-10-26;08:00:00;08:45:00;08;036;chemia
000156;Brak_tematu;2020-11-02;08:00:00;08:45:00;16;072;geografia
000157;Brak_tematu;2020-07-26;08:00:00;08:45:00;08;061;j.angielski
000158;Brak_tematu;2020-07-12;08:00:00;08:45:00;13;056;j.polski
000159;Brak_tematu;2020-02-10;08:00:00;08:45:00;13;001;matematyka
000160;Brak_tematu;2020-06-20;08:00:00;08:45:00;13;061;j.angielski
